Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,27.38,57.93,NA,NA,NA,NA,12.71,0.56,15.54,NA,NA,NA,NA,NA,NA,NA,NA,1.13,180.70,NA,NA,NA,NA,NA
2025-01-02 00:00:00,24.04,50.86,NA,NA,NA,NA,12.23,0.43,11.87,NA,NA,NA,NA,NA,NA,NA,NA,0.95,160.07,NA,NA,NA,NA,NA
2025-01-03 00:00:00,25.56,54.07,6.88,16.42,23.33,60.13,12.99,0.61,15.92,NA,NA,NA,NA,NA,NA,NA,NA,1.01,183.97,NA,NA,NA,NA,NA
2025-01-04 00:00:00,23.87,50.51,6.74,15.35,22.09,67.95,12.64,0.75,15.32,NA,NA,NA,NA,NA,NA,NA,NA,0.71,186.38,NA,NA,NA,NA,NA
2025-01-05 00:00:00,25.55,54.07,5.96,15.48,21.43,67.56,12.84,0.48,19.09,NA,NA,NA,NA,NA,NA,NA,NA,0.77,158.07,NA,NA,NA,NA,NA
2025-01-06 00:00:00,25.13,53.17,6.23,15.35,21.58,67.76,13.80,0.64,21.60,NA,NA,NA,NA,NA,NA,NA,NA,0.65,148.63,NA,NA,NA,NA,NA
2025-01-07 00:00:00,33.15,70.13,17.69,20.46,27.03,34.41,12.16,1.13,16.55,0.53,NA,NA,NA,0.37,NA,NA,NA,0.85,131.57,NA,NA,NA,NA,NA
2025-01-08 00:00:00,50.10,106.01,4.99,33.70,37.94,19.93,9.88,0.89,17.85,0.38,NA,NA,NA,0.32,NA,NA,NA,0.83,155.33,NA,NA,NA,NA,NA
2025-01-09 00:00:00,50.45,106.57,3.44,9.92,10.87,32.36,12.23,0.79,20.99,0.33,NA,NA,NA,0.36,NA,NA,NA,0.81,134.54,NA,NA,NA,NA,NA
2025-01-10 00:00:00,53.69,113.60,4.26,24.39,28.65,15.37,12.30,0.61,23.00,0.34,NA,NA,NA,0.36,NA,NA,NA,1.13,138.20,NA,NA,NA,NA,NA
2025-01-11 00:00:00,31.56,66.78,6.49,25.32,31.80,14.40,12.24,0.33,28.90,0.40,NA,NA,NA,0.32,NA,NA,NA,1.15,34.76,NA,NA,NA,NA,NA
2025-01-12 00:00:00,38.39,81.04,6.78,19.21,26.00,16.16,12.27,0.60,16.18,0.38,NA,NA,NA,0.30,NA,NA,NA,0.94,232.17,NA,NA,NA,NA,NA
